filename,orig_eme,enh_eme,eme_gain,orig_ten,enh_ten,ten_gain,time
10.png,2.358731848850137,1.9621746895654206,-16.812303589237363,34179704.0,1178203332.0,3347.084655853076,7.3966286182403564
12.png,10.226787898502154,9.822760180158754,-3.9506805299303713,56006316.0,2096767500.0,3643.805430801769,7.712234735488892
13.png,1.743433898742791,1.293402510637239,-25.812930930738155,62895824.0,2033886684.0,3133.7388313729703,7.4156670570373535
14.png,1.7785277063682574,1.357311702088105,-23.68340975358056,62804644.0,2029282028.0,3131.1018720208017,7.652982711791992
15.png,5.468001673327027,4.955774622817361,-9.367719344496825,18837364.0,804037316.0,4168.311192585119,7.381063461303711
16.png,5.418148172822763,4.762205690042795,-12.106396168162243,18971632.0,805838804.0,4147.59875165194,7.676124334335327
17.png,5.448118475142273,4.754637219145589,-12.728821136338722,175907224.0,4358687852.0,2377.8333446953834,7.417886018753052
18.png,5.20411123654467,4.57085192891497,-12.16844296453125,175278164.0,4362055940.0,2388.6476674869778,7.949128866195679
2.png,1.703976765193231,1.1413173349219248,-33.02036986446236,183087272.0,4227946132.0,2209.2518042433885,7.364908456802368
21.png,3.852656407679231,3.2505950813935343,-15.62717415146728,63650692.0,2089104668.0,3182.139757412221,7.601622581481934
24.png,7.949098267963818,7.969206827015152,0.25296654253697426,26313712.0,1024040168.0,3791.6598615961134,7.639027833938599
25.png,1.3528394530112378,1.089753419298411,-19.446951604437075,69168488.0,1474555500.0,2031.8313333667206,9.030637264251709
26.png,1.371910120154898,1.1146550563277677,-18.751597502472276,70097716.0,1479537688.0,2010.678881463128,16.9575355052948
27.png,10.029535718925525,9.721485130583194,-3.071434181754256,11888976.0,571132864.0,4703.886087414089,19.03043222427368
28.png,10.1530082083407,9.709129608882453,-4.371892451476598,11829752.0,570638848.0,4723.760024724103,18.650434255599976
33.png,9.685859248256461,9.536921999806353,-1.5376771913851481,104746548.0,2674719876.0,2453.516012766359,18.2152316570282
35.png,4.414612037295998,3.134635007435701,-28.99410002615538,130882600.0,3684127324.0,2714.8335408984844,17.133907794952393
36.png,5.7148865290443585,4.910167429873352,-14.08110371188019,132648452.0,3812709892.0,2774.2965594502375,17.723766088485718
